实体ID,实体名称,实体类别
12018,优泌林,Drug
12019,络活喜,Drug
12020,诺和灵R,Drug
12021,福善美,Drug
12022,贺维力,Drug
12023,阿普唑仑,Drug
12024,硝苯地平,Drug
12025,培菲康,Drug
12026,力蜚能,Drug
12027,利福平,Drug
12028,益适纯,Drug
12029,阿莫西林,Drug
12030,乳果糖,Drug
12031,宜合瑞,Drug
12032,拜复乐,Drug
12033,赖诺普利,Drug
12034,安信,Drug
12035,优思弗,Drug
12036,克拉霉素,Drug
12037,心得安,Drug
12038,思考林,Drug
12039,吲达帕胺,Drug
12040,博苏,Drug
12041,科素亚,Drug
12042,善存,Drug
12043,百泌达,Drug
12044,优甲乐,Drug
12045,贺普丁,Drug
12046,诺和灵30R,Drug
12047,施慧达,Drug
12048,阿卡波糖,Drug
12049,格列吡嗪,Drug
12050,皿治林,Drug
12051,乐喜林,Drug
12052,复发南星止痛膏,Drug
12053,亚莫利,Drug
12054,利西拉来,Drug
12055,瑞舒伐他汀,Drug
12056,曲尼司特,Drug
12057,钙尔奇D,Drug
12058,伲福达,Drug
12059,依巴斯汀,Drug
12060,拜新同,Drug
12061,来士普,Drug
12062,百塞诺,Drug
12063,爱乐维,Drug
12064,维生素B,Drug
12065,盖三淳,Drug
12066,磷酸西格列汀,Drug
12067,万爽力,Drug
12068,富露施,Drug
12069,羟苯磺酸钙,Drug
12070,卡博平,Drug
12071,氯沙坦,Drug
12072,拜阿司匹灵,Drug
12073,施惠达,Drug
12074,厄贝沙坦,Drug
12075,为力苏,Drug
12076,诺和龙,Drug
12077,格华止,Drug
12078,阿司匹林,Drug
12079,艾斯西肽普兰,Drug
12080,力平之,Drug
12081,非诺贝特,Drug
12082,银杏酮酯,Drug
12083,门冬胰岛素,Drug
12084,欧唐宁,Drug
12085,血脂康,Drug
12086,二甲双胍,Drug
12087,立普妥,Drug
12088,赛心得安,Drug
12089,安博维,Drug
12090,苯溴马隆,Drug
12091,维固力,Drug
12092,依折麦布,Drug
12093,佳维乐,Drug
12094,耐信,Drug
12095,骨化三醇,Drug
12096,特治星,Drug
12097,弥凝,Drug
12098,阿莫仙,Drug
12099,骨化三淳,Drug
12100,吡嗪酰胺,Drug
12101,波利特,Drug
12102,保列治,Drug
12103,优泌乐50,Drug
12104,奥美拉唑,Drug
12105,乙胺丁醇,Drug
12106,生理盐水,Drug
12107,可定,Drug
12108,拜糖苹,Drug
12109,小苏打,Drug
12110,速力菲,Drug
12111,安立泽,Drug
12112,诺和力,Drug
12113,异烟肼,Drug
12114,美托洛尔,Drug
12115,来得时,Drug
12116,予益宝世灵,Drug
12117,阿托伐他汀,Drug
12118,氨氯地平,Drug
12119,地高辛,Drug
12120,补达秀,Drug
12121,诺和锐,Drug
12122,贝莱,Drug
12123,杜密克,Drug
12124,盖三醇,Drug
12125,碳酸钙D3,Drug
12126,海昆肾喜,Drug
12127,阿法迪三,Drug
12128,奥克,Drug
12129,罗盖全,Drug
12130,泰嘉,Drug
12131,博依姆多,Drug
12132,诺邦,Drug
12133,精蛋白生物合成人胰岛素注射液预混50R,Diabete_Drug
12134,格列喹酮片,Diabete_Drug
12135,维格列汀片,Diabete_Drug
12136,利司那肽注射液,Diabete_Drug
12137,拜唐苹片,Diabete_Drug
12138,利格列汀,Diabete_Drug
12139,那格列奈片,Diabete_Drug
12140,精蛋白生物合成人胰岛素注射液,Diabete_Drug
12141,门冬胰岛素30注射液,Diabete_Drug
12142,甘精胰岛素注射液,Diabete_Drug
12143,格列齐特片,Diabete_Drug
12144,磷酸西格列汀片,Diabete_Drug
12145,沙格列汀片,Diabete_Drug
12146,盐酸二甲双胍片,Diabete_Drug
12147,地特胰岛素注射液,Diabete_Drug
12148,艾塞那肽注射液,Diabete_Drug
12149,达格列净片,Diabete_Drug
12150,利拉鲁肽注射液,Diabete_Drug
12151,精蛋白锌重组赖脯胰岛素混合注射液50R,Diabete_Drug
12152,恩格列净片,Diabete_Drug
12153,格列吡嗪缓释片,Diabete_Drug
12154,门冬胰岛素注射液,Diabete_Drug
12155,格列吡嗪控释片,Diabete_Drug
12156,德谷胰岛素,Diabete_Drug
12157,瑞格列奈片,Diabete_Drug
12158,格列美脲片,Diabete_Drug
12159,精蛋白生物合成人胰岛素注射液预混30R,Diabete_Drug
12160,生物合成人胰岛素,Diabete_Drug
12161,脾切除术后,Illness
12162,胃潴留,Illness
12163,胆石症,Illness
12164,骶尾椎退变,Illness
12165,肺小结节,Illness
12166,左肩关节内固定术后,Illness
12167,下腔静脉滤器植入术后,Illness
12168,脑干左侧腔隙性脑梗死,Illness
12169,双侧甲状腺内结节,Illness
12170,高血压（2级极高危）,Illness
12171,前列腺炎,Illness
12172,左侧乳腺癌,Illness
12173,右侧顶部皮下脂肪瘤,Illness
12174,冠状动脉粥样硬化性心脏病（心功能II级）,Illness
12175,右肾癌,Illness
12176,胆囊结石合并胆囊炎,Illness
12177,两肺间质性肺炎,Illness
12178,垂体柄增粗,Illness
12179,糖尿病视网膜病变3期,Illness
12180,膀胱结石,Illness
12181,胆囊壁息肉,Illness
12182,高血压病2级(极高危组),Illness
12183,妊娠期阴道炎,Illness
12184,子宫下段剖宫产术后,Illness
12185,右侧甲状旁腺占位,Illness
12186,肌肉损伤,Illness
12187,右侧第6前肋骨折,Illness
12188,左肺肺气肿,Illness
12189,前列腺增生伴钙化,Illness
12190,右腓总神经损害,Illness
12191,骨关节炎,Illness
12192,腔隙性脑梗塞,Illness
12193,颈椎间盘突出（C6/7）伴局部椎管狭窄,Illness
12194,声带白斑切除术后,Illness
12195,回盲部管状腺瘤伴低度上皮内瘤变,Illness
12196,原发性甲状旁腺功能亢进,Illness
12197,腰背部筋膜炎,Illness
12198,脑梗死（右侧颈内动脉系统）,Illness
12199,冠状动脉粥样硬化性症,Illness
12200,高血压2级（极高危）,Illness
12201,甲状腺功能亢进症（Graves病）,Illness
12202,慢性肾脏病,Illness
12203,双侧青光眼,Illness
12204,右下肺胸膜小结节,Illness
12205,左侧颈动脉粥样硬化,Illness
12206,乳腺纤维腺瘤切除术后,Illness
12207,偏执性精神障碍,Illness
12208,左肩胛骨软组织占位术后,Illness
12209,掌跖角化症,Illness
12210,左肺胸膜下小结节,Illness
12211,两侧额顶叶及双侧脑室前后脚慢性缺氧改变,Illness
12212,颈椎退变,Illness
12213,右侧甲状腺占位,Illness
12214,高血压Ⅱ级（极高危组）,Illness
12215,右肾高密度囊肿,Illness
12216,左精索静脉曲张结扎术后,Illness
12217,食管乳头状瘤,Illness
12218,肝右叶实质性占位（血管瘤可能）,Illness
12219,右膝半月瓣修补术后,Illness
12220,双侧筛窦炎症,Illness
12221,蛇咬伤,Illness
12222,局限型胆囊腺肌增生症,Illness
12223,食管-胃底静脉曲张,Illness
12224,外踝,Illness
12225,卵巢囊肿剥离术后,Illness
12226,L2椎体血管瘤,Illness
12227,双侧下鼻甲肥大,Illness
12228,腰椎退变L2-S1膨出,Illness
12229,心尖部肥厚型心肌病,Illness
12230,双侧胸膜增厚,Illness
12231,腰椎内固定术后,Illness
12232,双侧髋关节退变,Illness
12233,双眼人工晶体植入术后,Illness
12234,胆囊息肉微创术后,Illness
12235,高血压2级（中危）,Illness
12236,萎缩性胃炎伴肠化生,Illness
12237,胃间质瘤,Illness
12238,右侧副乳,Illness
12239,扁桃体切除术后,Illness
12240,死胎,Illness
12241,维生素D不足症,Illness
12242,颈胸椎退变,Illness
12243,胆囊内壁胆固醇结晶,Illness
12244,动脉粥样硬化,Illness
12245,左膝前交叉韧带损伤,Illness
12246,双肾多发小结石,Illness
12247,右上肺小钙化灶,Illness
12248,左额部皮下软组织轻度肿胀,Illness
12249,原发性甲状腺功能亢进症,Illness
12250,宫颈癌全子宫切除术后,Illness
12251,甲状旁腺占位,Illness
12252,急性胆囊炎,Illness
12253,窦性心动过缓伴心律不齐,Illness
12254,右侧肾脏小结石,Illness
12255,局限性肺气肿,Illness
12256,乙状结肠息肉（已夹除）,Illness
12257,结节性甲状腺肿伴甲亢,Illness
12258,胆囊泥沙样结石,Illness
12259,脑胶质瘤术后,Illness
12260,结肠息肉摘除后,Illness
12261,椎间盘突出症,Illness
12262,颈椎病（C4-7椎间盘突出，椎管狭窄）,Illness
12263,L1椎体压缩性骨折,Illness
12264,颈动脉粥样硬化闭塞症,Illness
12265,胃体息肉摘除术后,Illness
12266,左侧肾结石,Illness
12267,双手皮肤接触性皮炎,Illness
12268,左肺上叶胸膜下结节,Illness
12269,右足第二足趾感染,Illness
12270,双侧乳腺多发钙化灶,Illness
12271,甲状腺功能亢进症,Illness
12272,多发性腔梗,Illness
12273,眼睑肿物,Illness
12274,左眼弱视,Illness
12275,鞍区占位,Illness
12276,糖尿病高渗性状态,Illness
12277,右肾下极囊肿,Illness
12278,4后肋陈旧性骨折,Illness
12279,垂体前叶功能减退(FSH,Illness
12280,肺部感染可能,Illness
12281,腹股沟斜疝,Illness
12282,高血压病（2级极高危组）,Illness
12283,腰椎间盘突出（L3/4）,Illness
12284,右肺上叶磨玻璃结节,Illness
12285,垂体性肾上腺皮质功能减退症,Illness
12286,慢性非萎缩性浅表性胃炎,Illness
12287,慢性活动性十二指肠炎,Illness
12288,肠系膜根部多发小淋巴结,Illness
12289,前列腺切除术后状态,Illness
12290,左肾结石碎石术后,Illness
12291,前列腺癌（放射性粒子植入术后）,Illness
12292,血清25羟维生素D缺乏症,Illness
12293,左侧输尿管结石,Illness
12294,前列腺癌术后,Illness
12295,低促性腺激素性腺功能减退,Illness
12296,右臀部蜂窝组织炎,Illness
12297,ANCA相关血管炎,Illness
12298,皮层下动脉硬化性脑病,Illness
12299,左侧髋关节置换术后,Illness
12300,极高危）,Illness
12301,右小腿肌间静脉血栓形成,Illness
12302,TIPS术后,Illness
12303,结肠代膀胱术后,Illness
12304,冠状动脉狭窄,Illness
12305,右眼玻璃体切除术后,Illness
12306,双肾积水伴输尿管上端轻度扩张,Illness
12307,胰腺炎,Illness
12308,右肺下叶轻度支气管扩张,Illness
12309,糖尿病性视网膜病变,Illness
12310,色素性紫癜性皮病,Illness
12311,甲亢I131术后,Illness
12312,电解质代谢紊乱,Illness
12313,胃溃疡（H1期）,Illness
12314,右肺中叶钙化灶,Illness
12315,慢性房颤,Illness
12316,左侧静脉曲张剥脱术后,Illness
12317,结肠息肉（已夹除）,Illness
12318,肝功能不全,Illness
12319,三系减少,Illness
12320,卵巢切除术后,Illness
12321,左膝骨性关节炎,Illness
12322,陈旧性腔梗,Illness
12323,膀胱造瘘术后,Illness
12324,直肠管状腺瘤伴低度上皮内瘤变,Illness
12325,左肺炎,Illness
12326,糖尿病肾病（CKD5期）,Illness
12327,右足骨折后,Illness
12328,子宫肌瘤切除手术后,Illness
12329,食管粘膜剥离术后,Illness
12330,慢性萎缩性胃炎伴肠上皮化生,Illness
12331,双侧骶髂关节退变,Illness
12332,右侧劲动脉粥样硬化症,Illness
12333,右肺上叶支气管轻度扩张,Illness
12334,胃部分腺上皮低度上皮内瘤变（中度异型增生）,Illness
12335,脑卒中后,Illness
12336,副鼻窦炎,Illness
12337,甲状腺功能亢进症Graves病,Illness
12338,右眼晶状体置换术后,Illness
12339,左腓骨骨折复位术后,Illness
12340,垂体泌乳素瘤（微腺瘤）,Illness
12341,右颈部占位,Illness
12342,胆管结石伴胆囊炎,Illness
12343,右侧脑室前角内结节样病变,Illness
12344,高血压1级（中危）,Illness
12345,晶状体置换术后,Illness
12346,动脉粥样硬化症（颈动脉,Illness
12347,肺部感染,Illness
12348,腹股沟疝,Illness
12349,右附件囊肿,Illness
12350,性功能障碍,Illness
12351,后循环缺血,Illness
12352,鼻骨骨折复位术后,Illness
12353,冠状动脉支架置入术后,Illness
12354,糖尿病视网膜病变（激光治疗术后）,Illness
12355,锁骨下动脉,Illness
12356,右下肢静脉曲张,Illness
12357,腰椎退变伴L4/5,Illness
12358,肾结石体外碎石术后,Illness
12359,松果体囊肿,Illness
12360,舟状骨骨髓水肿,Illness
12361,全子宫切除术后,Illness
12362,左下肢动脉粥样硬化性狭窄,Illness
12363,心脏房间隔缺损修补术后,Illness
12364,前列腺增生伴异常信号,Illness
12365,左肩周炎,Illness
12366,直肠慢性非活动性肠炎伴息肉样增生,Illness
12367,腰椎退变，椎间盘变性,Illness
12368,腰椎退变，椎间盘突出,Illness
12369,L4椎体局部融合,Illness
12370,糖尿病视网膜病变（增殖期）,Illness
12371,乙状结肠癌术后,Illness
12372,胃底腺息肉,Illness
12373,颈部蜂窝织炎切开引流术后,Illness
12374,肝右叶血管瘤,Illness
12375,多发性腔隙性脑梗死,Illness
12376,冠状动脉粥样硬化性心脏病PCI术后,Illness
12377,返流性食管炎,Illness
12378,多发陈旧性脑梗死,Illness
12379,双侧上颌窦及筛窦粘膜轻度增厚,Illness
12380,糖尿病神经源性膀胱,Illness
12381,左颈部包块切除术后,Illness
12382,多囊卵巢综合症,Illness
12383,心律失常,Illness
12384,子宫,Illness
12385,子宫多发肌瘤,Illness
12386,左足足跟撕脱性骨折外固定术后,Illness
12387,高危）,Illness
12388,胆囊炎伴胆囊结石,Illness
12389,甲状腺部分切除术后,Illness
12390,腰椎退变腰椎间盘变性,Illness
12391,两肺支气管病变,Illness
12392,急性胰腺炎,Illness
12393,两上肺局限性肺气肿,Illness
12394,慢性肾功能不全2期,Illness
12395,三发性甲状旁腺功能亢进症,Illness
12396,脾囊肿,Illness
12397,脑梗死恢复期,Illness
12398,阑尾切除手术,Illness
12399,右侧正中神经腕点损害可能,Illness
12400,脑梗塞后遗症,Illness
12401,右侧肾囊肿,Illness
12402,双侧膝关节退行性变,Illness
12403,心绞痛,Illness
12404,铁代谢紊乱,Illness
12405,急性脑梗死（右侧颈内动脉系统）,Illness
12406,胃癌根治术后,Illness
12407,L3-S1椎间盘突出,Illness
12408,糖尿病周围神经损害,Illness
12409,反应性胃病,Illness
12410,下壁心肌梗塞,Illness
12411,过敏性紫癜,Illness
12412,双侧前臂脂肪瘤可能,Illness
12413,左髋关节置换术后,Illness
12414,双侧骶髂关节炎,Illness
12415,跖疣冷冻术后,Illness
12416,左乳纤维腺瘤术后,Illness
12417,左下肢动脉重建术后,Illness
12418,神经源膀胱,Illness
12419,阵发性心房纤颤,Illness
12420,左下肺部分切除术后,Illness
12421,左侧乳腺内瘤样增生结节可能,Illness
12422,血友病甲,Illness
12423,乙状结肠癌根治术后,Illness
12424,右侧枕叶海绵状血管瘤可能,Illness
12425,胰腺肿块切除术后,Illness
12426,L4/5椎体终板炎,Illness
12427,左侧肋骨陈旧性骨折,Illness
12428,左锁骨下及左颈总起始处,Illness
12429,慢性肾脏病III期,Illness
12430,食管静脉曲张,Illness
12431,右肺上叶及左肺下叶胸膜下结节,Illness
12432,原发性甲状腺功能减退症（桥本病）,Illness
12433,双侧腕管综合症可能,Illness
12434,2型糖尿病性周围神经病变,Illness
12435,频发室性早搏,Illness
12436,胆囊炎合并胆囊内结石,Illness
12437,高血压病1期（极高危）,Illness
12438,左乳房肿块,Illness
12439,右踝关节骨折,Illness
12440,Tips分流术后,Illness
12441,左肺结节,Illness
12442,右侧鼻息肉,Illness
12443,间质性肺炎感染,Illness
12444,L4/5腰椎间盘突出伴椎间隙狭窄,Illness
12445,右侧甲状腺结节（考虑甲状腺乳头状癌可能）,Illness
12446,右上颌窦炎症,Illness
12447,L4椎体轻度前滑脱（I°）伴腰椎管狭窄,Illness
12448,高尿酸症,Illness
12449,玻璃体出血,Illness
12450,陈旧性心梗,Illness
12451,右肾切除术后,Illness
12452,高血压病3级(极高危组),Illness
12453,高血压（极高危组）,Illness
12454,糖尿病肾病,Illness
12455,左侧髌韧带损伤,Illness
12456,输卵管绝育,Illness
12457,心律失常：室性早搏,Illness
12458,胰腺占位（胰腺IPMN恶变可能）,Illness
12459,干燥综合症,Illness
12460,子宫直肠窝积液,Illness
12461,乏脂性湿疹,Illness
12462,小肠修补术后,Illness
12463,胰头占位待查,Illness
12464,冠脉支架植入式后,Illness
12465,右侧乳腺癌乳腺全切术,Illness
12466,低蛋白血症,Illness
12467,右膝股骨骨髓水肿,Illness
12468,高血压病（2级，很高危）,Illness
12469,两上肺多发小结节,Illness
12470,两肺上叶结节,Illness
12471,甲状腺结节（右叶）,Illness
12472,左侧肾上腺占位,Illness
12473,乙状结肠管状腺瘤伴低密度上皮内瘤变术后,Illness
12474,左侧肾上腺节细胞神经瘤术后,Illness
12475,肝内多发低密度影,Illness
12476,肝脏小囊肿,Illness
12477,胆汁反流性胃炎伴糜烂,Illness
12478,左肾盂切开取石术后,Illness
12479,痛风（缓解期）,Illness
12480,右眼青光眼术后,Illness
12481,肝囊肿可能,Illness
12482,右下肢皮肤溃疡,Illness
12483,房间隔膨出瘤形成,Illness
12484,小指近节指骨骨折术后,Illness
12485,右侧肾上腺髓性脂肪瘤,Illness
12486,胆囊增大,Illness
12487,糖尿病性肾病,Illness
12488,轻度肺动脉高压症,Illness
12489,酒精性脂肪性肝病,Illness
12490,两下肺间质性肺炎,Illness
12491,骨量下降,Illness
12492,右白内障,Illness
12493,C3-6椎间盘突出,Illness
12494,左椎动脉狭窄,Illness
12495,甲状腺乳头状癌全切术后,Illness
12496,重度脂肪肝,Illness
12497,左下肢皮肤感染,Illness
12498,类风湿性关节炎,Illness
12499,右侧下叶胸膜下结节,Illness
12500,II度窦房传导阻滞（长R-R间期）,Illness
12501,左肾钙化,Illness
12502,妊娠26+周,Illness
12503,右侧肢体偏瘫,Illness
12504,糖尿病视网膜病变激光术后,Illness
12505,人工荨麻疹,Illness
12506,右侧上颌窦炎症,Illness
12507,冠状动脉支架植入术后,Illness
12508,L4/5椎间盘突出伴椎管狭窄,Illness
12509,高血压Ⅰ级（极高危）,Illness
12510,冠心病-不稳定性心绞痛,Illness
12511,下肢动脉粥样硬化闭塞症,Illness
12512,颈内动脉粥样硬化症,Illness
12513,右手腱鞘囊肿切除术后,Illness
12514,肺部陈旧性病灶,Illness
12515,C6/7椎间盘突出,Illness
12516,亚临床甲状腺功能减退症,Illness
12517,肝脏多发占位（HCC可能）,Illness
12518,高血压病（2级,Illness
12519,颈椎椎管减压术后,Illness
12520,胆汁反流性胃炎,Illness
12521,左侧输尿管扩张,Illness
12522,腰椎退变（L3-S1腰椎间盘变性伴轻度膨出）,Illness
12523,右足外伤术后,Illness
12524,皮下脂肪瘤,Illness
12525,原发性甲状腺机能亢进（Graves病）,Illness
12526,急性胰腺炎(恢复期),Illness
12527,甲状腺功能减退（桥本氏甲状腺炎）,Illness
12528,左侧肾上腺结合部结节样增粗,Illness
12529,主动脉管壁钙化,Illness
12530,急性髓细胞性白血病（M2a型）,Illness
12531,慢性萎缩性胃炎急性活动,Illness
12532,输尿管结石,Illness
12533,主动脉及冠脉管壁钙化,Illness
12534,急性化脓性扁桃体炎,Illness
12535,黄韧带肥厚,Illness
12536,下肢动脉粥样硬化,Illness
12537,左侧椎动脉球囊扩张支架置入术后,Illness
12538,双眼晶体置换术后,Illness
12539,轻度慢性浅表性胃炎,Illness
12540,右肾体积稍小,Illness
12541,慢性肺源性心脏病,Illness
12542,垂体大腺瘤,Illness
12543,肝右叶下腔静脉旁稍低密度影,Illness
12544,冠心病稳定性心绞痛,Illness
12545,两侧胸膜局限性增厚,Illness
12546,高尿酸血症,Illness
12547,筛窦炎,Illness
12548,右肺上叶陈旧性病灶,Illness
12549,左股骨颈骨折,Illness
12550,高血脂症,Illness
12551,左侧肾上腺结合部轻度结节样增粗,Illness
12552,孕11周,Illness
12553,右乳纤维腺瘤剥除术后,Illness
12554,急性心功能不全,Illness
12555,骶髂关节退变,Illness
12556,嗜铬细胞瘤,Illness
12557,左下肢静脉瓣关闭不全,Illness
12558,颅骨去骨瓣减压术后,Illness
12559,颈椎轻度退变,Illness
12560,左肾上腺髓质瘤,Illness
12561,急性上呼吸道感染,Illness
12562,慢性荨麻疹,Illness
12563,慢性胃炎伴糜烂,Illness
12564,左眼接触性皮炎,Illness
12565,牙龈炎,Illness
12566,糖尿病肾病（3期）,Illness
12567,糖尿病视网膜病变（Ⅲ期）,Illness
12568,鼻中隔偏曲,Illness
12569,消化道出血,Illness
12570,右肾结石伴肾盏积水,Illness
12571,右侧鼻甲肥厚,Illness
12572,中-大量心包积液,Illness
12573,1型糖尿病,Illness
12574,两肺轻度间质性改变,Illness
12575,肠系膜下动脉狭窄,Illness
12576,右全膝关节置换术后,Illness
12577,左肺上叶近胸膜处点状钙化灶,Illness
12578,前列腺增大,Illness
12579,L4/5,Illness
12580,腰椎术后,Illness
12581,阵旧性脑梗塞,Illness
12582,两肺下叶胸膜下轻度间质性改变,Illness
12583,颈动脉硬化症,Illness
12584,冠状动脉粥样硬化性心脏病,Illness
12585,右眼牵拉性视网膜脱落,Illness
12586,右眼玻璃体出血,Illness
12587,颈动脉粥样硬化症,Illness
12588,双下肢动脉粥样硬化症,Illness
12589,CAG+PCI术后,Illness
12590,左下肺小结节,Illness
12591,陈旧性腔隙性脑梗塞,Illness
12592,左侧颞顶叶急性期腔隙性脑梗死,Illness
12593,痛风急性发作,Illness
12594,下肢静脉血栓,Illness
12595,血25-羟基维生素D缺乏,Illness
12596,左侧卵巢切除术后,Illness
12597,左侧乳腺囊肿,Illness
12598,慢性胆囊炎,Illness
12599,胆囊内胆汁淤积,Illness
12600,支气管扩张伴感染,Illness
12601,腰椎病变,Illness
12602,肠息肉,Illness
12603,左肾盂癌,Illness
12604,双侧筛窦及上颌窦炎症,Illness
12605,未分化结缔组织病待排,Illness
12606,肺结核,Illness
12607,左眼视网膜脱落,Illness
12608,右侧基底节陈旧性腔隙性脑梗死,Illness
12609,低T3综合征,Illness
12610,右股骨头置换术后,Illness
12611,糖尿病足清创术后,Illness
12612,糖尿病肾病（III期）,Illness
12613,十二指肠降段内侧憩室可能,Illness
12614,糖尿病大血管病变,Illness
12615,右肺下叶背段实变,Illness
12616,宫颈体及宫颈管内占位,Illness
12617,左侧附件包块,Illness
12618,慢性肾脏病CKD3期,Illness
12619,右侧输卵管结扎术后,Illness
12620,右上肺上叶条索影,Illness
12621,冠状动脉粥样硬化,Illness
12622,颈椎病椎间盘突出症（C2-6）,Illness
12623,两侧睾丸鞘膜积液,Illness
12624,甲状腺右叶结节,Illness
12625,右侧第3,Illness
12626,胰腺癌术后,Illness
12627,急性肾功能不全（恢复期）,Illness
12628,左甲状腺结节,Illness
12629,左侧眼眶内侧壁凹陷伴左侧眼眶内脂肪疝出,Illness
12630,肝左叶钙化灶,Illness
12631,胰腺导管内乳头状粘性肿瘤,Illness
12632,幽门前区溃疡,Illness
12633,高血压（2级,Illness
12634,两上肺肺气肿,Illness
12635,双膝骨性关节炎,Illness
12636,左下肺占位,Illness
12637,右侧卵巢切除术后,Illness
12638,双侧髋关节骨性关节炎,Illness
12639,肝右叶占位（血管瘤可能）,Illness
12640,肝右叶占位性质待查,Illness
12641,慢性萎缩性胆囊炎,Illness
12642,两肺慢性支气管炎,Illness
12643,甲状腺内结节伴钙化（甲状腺乳头状癌）,Illness
12644,脑外伤（陈旧性）,Illness
12645,双下肢脓肿切开术后,Illness
12646,慢性鼻窦炎,Illness
12647,阑尾切除术后,Illness
12648,双肺陈旧性病灶,Illness
12649,右侧孤立肾,Illness
12650,颌面部多发软组织伤,Illness
12651,两侧肾上腺结节样增粗,Illness
12652,双侧附件囊肿,Illness
12653,左侧肩袖损伤,Illness
12654,右侧臀部脓肿引流术后,Illness
12655,左乳腺癌切除术后,Illness
12656,胰腺轻度脂肪化,Illness
12657,子宫颈纳氏囊肿,Illness
12658,心功能Ⅰ级,Illness
12659,右肺尖局限性肺气肿,Illness
12660,脊柱稍侧弯,Illness
12661,风湿性心脏病(1)二尖瓣置换术后,Illness
12662,右肺炎症,Illness
12663,左侧人工股骨头置换术后,Illness
12664,右眼白内障术后,Illness
12665,梗阻性黄疸,Illness
12666,甲亢131碘同位素术后,Illness
12667,陈旧性下壁心梗,Illness
12668,左耳胆脂瘤术后,Illness
12669,维生素D减少,Illness
12670,颅内动脉硬化,Illness
12671,糖尿病视网膜病变Ⅳ期,Illness
12672,胃癌Ⅳ期,Illness
12673,右外展神经麻痹,Illness
12674,冠心病冠脉支架置入术后,Illness
12675,腹腔内多发钙化结节,Illness
12676,甲状腺双叶结节,Illness
12677,主动脉及冠状动脉钙化,Illness
12678,左腕骨骨折内固定术后,Illness
12679,桥本氏病,Illness
12680,左髂总动脉夹层动脉瘤修复术后,Illness
12681,胃息肉钳除术后（胃底腺息肉伴浅表糜烂）,Illness
12682,前列腺增生症前列腺多发结石,Illness
12683,高血压病(3级极高危),Illness
12684,双侧颈动脉内膜增厚伴斑块形成,Illness
12685,双眼白内障，左眼白内障术后,Illness
12686,右上肺局限性肺不张可能,Illness
12687,多发性骨髓瘤,Illness
12688,肛瘘手术术后,Illness
12689,冠心病冠脉支架植入术后,Illness
12690,左侧附件囊肿,Illness
12691,颈动脉粥样动脉硬化,Illness
12692,自身免疫性肝炎,Illness
12693,两侧肾上腺稍增粗,Illness
12694,左肾透明细胞癌术后,Illness
12695,双侧大脑动脉粥样硬化,Illness
12696,泌尿道感染,Illness
12697,左手食指,Illness
12698,经尿道左侧输尿管开口囊肿电切术后,Illness
12699,左侧乳腺内钙化灶,Illness
12700,右肺下叶背段小结节,Illness
12701,双侧肾盂轻度扩张,Illness
12702,心脏支架植入术后,Illness
12703,糖尿病视网膜病变（右眼III期，左眼IV期）,Illness
12704,右侧筛窦炎,Illness
12705,陈旧性胸椎压缩性骨折,Illness
12706,肝内原发性胆管细胞癌pT1N0M0I期,Illness
12707,萎缩性胃炎伴胆汁反流,Illness
12708,重症肌无力（眼肌型）,Illness
